Reference,Sample/Reference notes,Lithology,Metamorphic grade,Group,Formation,Age/age estimate,d13C,H/C,TOC
Eigenbrode and Freeman 2006,SP07040018,carbonate,sub greenschist,Fortescue,Tumbiana,2.72,-50,,
Eigenbrode and Freeman 2006,MH07220007,carbonate,sub greenschist,Fortescue,Tumbiana,2.72,-53.6,,
Schopf and Klein 1992,2531,shale,,,Reivilo Fm,2.3,-34.5,0.13,
Schopf and Klein 1992,2531,shale,,,Reivilo Fm,2.3,-36.4,0.35,
Schopf and Klein 1992,2533,shale,,,Reivilo Fm,2.3,-36.7,0.31,
Schopf and Klein 1992,1415,chert,,,Klipfonteinheuwel Formation,2.325,-37.9,0.13,
Schopf and Klein 1992,2512,carbonate,,,Gamohaan Fm,2.45,-32.1,0.27,
Schopf and Klein 1992,2513,carbonate,,,Gamohaan Fm,2.45,-32.7,0.25,
Schopf and Klein 1992,2514,carbonate,,,Gamohaan Fm,2.45,-34.6,0.26,
Schopf and Klein 1992,2517,carbonate,,,Gamohaan Fm,2.45,-34.5,0.28,
Schopf and Klein 1992,2518,carbonate,,,Gamohaan Fm,2.45,-34.6,0.26,
Schopf and Klein 1992,2520,shale,,,Gamohaan Fm,2.45,-34.9,0.18,
Schopf and Klein 1992,1932,shale,,,Jeerinah Formation,2.65,-45.1,0.48,
Schopf and Klein 1992,1972,shale,,,Jeerinah Formation,2.65,-41.4,0.36,
Schopf and Klein 1992,1355,chert,,,Meentheena Carbonate member,2.75,-51.8,0.22,
Schopf and Klein 1992,2050,carbonate,,,Tumbiana Formation,2.75,-52.9,0.28,
Schopf and Klein 1992,2065,shale,,,Tumbiana Formation,2.75,-58.7,0.47,
Schopf and Klein 1992,2070,carbonate,,,Tumbiana Formation,2.75,-53.8,0.32,
Schopf and Klein 1992,1391,chert,,,Kromberg Formation,3.3,-30.3,0.12,
Schopf and Klein 1992,1392,chert,,,Kromberg Formation,3.3,-26.2,0.14,
Schopf and Klein 1992,1396,chert,,,Kromberg Formation,3.3,-32.6,0.16,
Schopf and Klein 1992,1400,chert,,,Fig Tree Group,3.35,-28.5,0.18,
Schopf and Klein 1992,1403,chert,,,Fig Tree Group,3.35,-28.6,0.19,
Schopf and Klein 1992,1386,chert,,,Hooggenoeg Formation,3.35,-36.7,0.2,
Schopf and Klein 1992,1385,chert,,,Theespruit Formation,3.55,-15.1,0.06,
Schopf and Klein 1992,Leve754706,chert,,,Fig Tree Group,3.35,-26.4,0.1,
Schopf and Klein 1992,Dung74,chert,,,Fig Tree Group,3.35,-28,0.41,
Schopf and Klein 1992,Dung74,chert,,,Fig Tree Group,3.35,-28.7,0.49,
Schopf and Klein 1992,McK174,chert,,,Hooggenoeg Fm,3.45,-26,0.41,
Schopf and Klein 1992,McK174,chert,,,Hooggenoeg Fm,3.45,-27.9,0.69,
Schopf and Klein 1992,McK174,chert,,,Hooggenoeg Fm,3.45,-26.3,0.43,
Schopf and Klein 1992,Dung74,chert,,,Onverwacht Group,3.45,-31.4,0.33,
Schopf and Klein 1992,Dung74,chert,,,Onverwacht Group,3.45,-26.2,0.65,
Schopf and Klein 1992,Dung74,chert,,,Onverwacht Group,3.45,-26.2,0.93,
Schopf and Klein 1992,Dung74,chert,,,Onverwacht Group,3.45,-33,0.38,
Schopf and Klein 1992,Dung74,chert,,,Onverwacht Group,3.45,-32.9,0.14,
Schopf and Klein 1992,Dung74,chert,,,Onverwacht Group,3.45,-28.4,0.8,
Schopf and Klein 1992,Dung74,chert,,,Onverwacht Group,3.45,-15.8,0.08,
Schopf and Klein 1992,Dung74,chert,,,Onverwacht Group,3.45,-14.3,0.96,
Schopf and Klein 1992,Leve754706,chert,,,Swartkoopie Formation,3.45,-27.6,0.3,
Schopf and Klein 1992,McK174,chert,,,Theespruit Formation,3.55,-17.3,0.04,
Schopf and Klein 1992,McK174,chert,,,Theespruit Formation,3.55,-22.4,0.04,
Schopf and Klein 1992,McK174,chert,,,Theespruit Formation,3.55,-19.1,0.03,
Schopf and Klein 1992,McK174,chert,,,Theespruit Formation,3.55,-20.4,0.05,
Schopf and Klein 1992,McK174,chert,,,Theespruit Formation,3.55,-17.4,0.05,
Schopf and Klein 1992,McK174,chert,,,Theespruit Formation,3.55,-18.2,0.04,
Cjaza et al 2010,WRL1-178.3,carbonate,sub greenschist,,Wittenoom,2.57,-29.5,,
Cjaza et al 2010,WRL1-235.9A,shale carbonate,sub greenschist,,Wittenoom,2.57,-40.8,,
Cjaza et al 2010,WRL1-289.45,carbonate,sub greenschist,,Wittenoom,2.58,-29,,
Cjaza et al 2010,WRL1-298.28,carbonate,sub greenschist,,Wittenoom,2.58,-39.1,,
Cjaza et al 2010,WRL1-338.57,carbonate,sub greenschist,,Wittenoom,2.58,-27.8,,
Cjaza et al 2010,WRL1-376.4,carbonate,sub greenschist,,Wittenoom,2.58,-27.7,,
Cjaza et al 2010,WRL1-472.2,carbonate,sub greenschist,,Wittenoom,2.59,-28.3,,
Cjaza et al 2010,WRL1-499.01A,shale carbonate,sub greenschist,,Wittenoom,2.59,-29.6,,
Cjaza et al 2010,WRL1-520.5,chert,sub greenschist,,Wittenoom,2.60,-43.1,,
Cjaza et al 2010,WRL1-520.6A,carbonate,sub greenschist,,Wittenoom,2.60,-38.3,,
Cjaza et al 2010,WRL1-524.05,shale,sub greenschist,,Wittenoom,2.60,-36.2,,
Cjaza et al 2010,WRL1-544.8,shale carbonate,sub greenschist,,Marra Mamba Iron Fm,2.60,-43.5,,
Cjaza et al 2010,WRL1-560.2A,shale carbonate,sub greenschist,,Marra Mamba Iron Fm,2.60,-32.1,,
Cjaza et al 2010,WRL1-612.6,shale carbonate,sub greenschist,,Marra Mamba Iron Fm,2.61,-41,,
Cjaza et al 2010,WRL1-644.75,carbonate,sub greenschist,,Marra Mamba Iron Fm,2.63,-49.2,,
Cjaza et al 2010,WRL1-657.7,shale carbonate,sub greenschist,,Marra Mamba Iron Fm,2.63,-47.8,,
Cjaza et al 2010,WRL1-659.5,shale carbonate,sub greenschist,,Marra Mamba Iron Fm,2.63,-47,,
Cjaza et al 2010,WRL1-673.6,chert,sub greenschist,,Marra Mamba Iron Fm,2.63,-45.6,,
Cjaza et al 2010,WRL1-678.75,shale,sub greenschist,,Marra Mamba Iron Fm,2.63,-44.5,,
Cjaza et al 2010,WRL1-678.95,shale,sub greenschist,,Jeerinah,2.63,-41,,
Cjaza et al 2010,WRL1-679.9,shale,sub greenschist,,Jeerinah,2.63,-39.8,,
Cjaza et al 2010,WRL1-683.2,shale carbonate,sub greenschist,,Jeerinah,2.64,-40.7,,
Cjaza et al 2010,WRL1-730.8,shale carbonate,sub greenschist,,Jeerinah,2.70,-39.9,,
Cjaza et al 2010,WRL1-731.05,shale carbonate,sub greenschist,,Jeerinah,2.70,-39.9,,
Cjaza et al 2010,SV1-55,shale carbonate,sub greenschist,,Tumbiana,2.72,-43.4,,
Cjaza et al 2010,SV1-55.3,shale carbonate,sub greenschist,,Tumbiana,2.72,-49.7,,
Cjaza et al 2010,SV1-70.9,shale carbonate,sub greenschist,,Tumbiana,2.72,-44.1,,
Cjaza et al 2010,SV1-117,shale carbonate,sub greenschist,,Tumbiana,2.72,-46.3,,
Cjaza et al 2010,SV1-126.4,shale carbonate,sub greenschist,,Tumbiana,2.72,-48.6,,
Cjaza et al 2010,RHDH2a-135.6,carbonate,sub greenschist,,Carawine Dolomite,2.62,-45.5,,
Cjaza et al 2010,RHDH2a-136,carbonate,sub greenschist,,Carawine Dolomite,2.62,-45.9,,
Cjaza et al 2010,RHDH2a-141,carbonate,sub greenschist,,Carawine Dolomite,2.62,-43.7,,
Cjaza et al 2010,RHDH2a-141.7,carbonate,sub greenschist,,Carawine Dolomite,2.62,-38.3,,
Cjaza et al 2010,RHDH2a-161,shale carbonate,sub greenschist,,Carawine Dolomite,2.63,-49.6,,
Cjaza et al 2010,RHDH2a-221.4,shale carbonate,sub greenschist,,Carawine Dolomite,2.63,-42.8,,
Cjaza et al 2010,RHDH2a-223,carbonate,sub greenschist,,Carawine Dolomite,2.63,-40,,
Cjaza et al 2010,RHDH2a-252.2,carbonate,sub greenschist,,Carawine Dolomite,2.63,-44.8,,
Cjaza et al 2010,RHDH2a-285.3,shale,sub greenschist,,Jeerinah,2.64,-39.8,,
Cjaza et al 2010,RHDH2a-296.9,shale carbonate,sub greenschist,,Jeerinah,2.64,-42.8,,
Cjaza et al 2010,RHDH2a-299.3,shale carbonate,sub greenschist,,Jeerinah,2.64,-40.1,,
Cjaza et al 2010,RHDH2a-333.5,shale carbonate,sub greenschist,,Jeerinah,2.65,-41.6,,
Cjaza et al 2010,RHDH2a-337.03,carbonate,sub greenschist,,Jeerinah,2.65,-41.9,,
Cjaza et al 2010,RHDH2a-369.6,shale,sub greenschist,,Jeerinah,2.65,-41,,
Cjaza et al 2010,RHDH2a-374.2,shale carbonate,sub greenschist,,Jeerinah,2.65,-43,,
Cjaza et al 2010,RHDH2a-447.2,shale carbonate,sub greenschist,,Jeerinah,2.67,-46.8,,
Cjaza et al 2010,RHDH2a-496.1,shale,sub greenschist,,Jeerinah,2.67,-45.1,,
Harnmeijer 2009,PC05-020A,calcite,sub greenschist,Coonterunah,,3.50,-28.77,,
Harnmeijer 2009,PC05-020B-1,calcite,sub greenschist,Coonterunah,,3.50,-25.34,,
Harnmeijer 2009,PC05-020B-2,calcite,sub greenschist,Coonterunah,,3.50,-27.34,,
Harnmeijer 2009,PC05-020B-3,calcite,sub greenschist,Coonterunah,,3.50,-26.49,,
Harnmeijer 2009,PC05-020B-4,calcite,sub greenschist,Coonterunah,,3.50,-24.29,,
Harnmeijer 2009,PC05-020B-5,calcite,sub greenschist,Coonterunah,,3.50,-29.63,,
Harnmeijer 2009,PC05-020C-1,calcite,sub greenschist,Coonterunah,,3.50,-27.21,,
Harnmeijer 2009,PC05-020C-2,calcite,sub greenschist,Coonterunah,,3.50,-27.67,,
Harnmeijer 2009,PC05-020C-3,calcite,sub greenschist,Coonterunah,,3.50,-27.03,,
Harnmeijer 2009,PC05-020C-4,calcite,sub greenschist,Coonterunah,,3.50,-26.26,,
Harnmeijer 2009,PC05-020C-5,calcite,sub greenschist,Coonterunah,,3.50,-26.33,,
Harnmeijer 2009,PC05-020C-6,calcite,sub greenschist,Coonterunah,,3.50,-27.11,,
Harnmeijer 2009,PC06-031,dolomite,sub greenschist,Coonterunah,,3.50,-23.28,,
Harnmeijer 2009,Pc06-041,dolomite,sub greenschist,Coonterunah,,3.50,-26.8,,
Harnmeijer 2009,PC06-024B,metapelite,sub greenschist,Coonterunah,,3.50,-16.21,,
Harnmeijer 2009,PC06-024I,metapelite,sub greenschist,Coonterunah,,3.50,-22.03,,
Harnmeijer 2009,PC06-027,metapelite,sub greenschist,Coonterunah,,3.50,-23.14,,
Harnmeijer 2009,PC06-029,metapelite,sub greenschist,Coonterunah,,3.50,-25.58,,
Harnmeijer 2009,PC06-040,metapelite,sub greenschist,Coonterunah,,3.50,-24.37,,
Harnmeijer 2009,PC06-044,metapelite,sub greenschist,Coonterunah,,3.50,-26.14,,
Harnmeijer 2009,70615K,chert,sub greenschist,Coonterunah,,3.50,-22.76,,
Harnmeijer 2009,70648K,chert,sub greenschist,Coonterunah,,3.50,-27.66,,
Harnmeijer 2009,94052K,chert,sub greenschist,Coonterunah,,3.50,-28.87,,
Harnmeijer 2009,93006,carbonate,greenschist,Coonterunah,,3.50,-24.88,,
Harnmeijer 2009,96045A,carbonate,greenschist,Coonterunah,,3.50,-23.57,,
Harnmeijer 2009,96045B,carbonate,greenschist,Coonterunah,,3.50,-28.77,,
"Watanabe et al., 1997",D80,shale,zeolite,"Transvaal, Pretoria",Silverton,2.22,-32.9,0.19,
"Watanabe et al., 1997",MSF2-3,shale,zeolite,"Transvaal, Pretoria",Timeball Hill,2.22,-30.1,0.21,
"Watanabe et al., 1997",WBK1-2,shale,zeolite,"Transvaal, Pretoria",Timeball Hill,2.22,-26.8,0.2,
"Watanabe et al., 1997",WBK1-5,shale,zeolite,"Transvaal, Pretoria",Timeball Hill,2.22,-31.7,0.29,
"Watanabe et al., 1997",CDV1-27,shale,zeolite,"Transvaal, Pretoria",Timeball Hill,2.22,-32,0.23,
"Watanabe et al., 1997",MEE20,shale,sub greenschist,"Transvaal, Wolkberg",Black Reef,2.56,-35.2,0.3,
"Watanabe et al., 1997",MEE29,shale,sub greenschist,"Transvaal, Wolkberg",Black Reef,2.56,-30,0.2,
"Watanabe et al., 1997",MEE35,shale,sub greenschist,"Transvaal, Wolkberg",Black Reef,2.56,-29.7,0.13,
"Watanabe et al., 1997",MEE40,shale,sub greenschist,"Transvaal, Wolkberg",Black Reef,2.56,-33.4,0.11,
"Watanabe et al., 1997",C197,shale,sub greenschist,"Transvaal, Wolkberg",Selati,2.65,-18.2,0.31,
"Watanabe et al., 1997",MEE16,shale,sub greenschist,Witwatersrand,K8,2.72,-33.8,0.47,
"Watanabe et al., 1997",MED4,shale,sub greenschist,Witwatersrand,K8,2.72,-33.5,0.57,
"Yamaguchi, 2002",1,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-29.3,,0.41
"Yamaguchi, 2002",2,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-27.5,,0.35
"Yamaguchi, 2002",3,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-29.3,,0.46
"Yamaguchi, 2002",4,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-28.8,,0.39
"Yamaguchi, 2002",5,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-28.4,,0.39
"Yamaguchi, 2002",6,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-28.5,,0.39
"Yamaguchi, 2002",7,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-28.3,,0.36
"Yamaguchi, 2002",8,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-28.6,,0.5
"Yamaguchi, 2002",9,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-28.4,,0.43
"Yamaguchi, 2002",10,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-28.1,,0.47
"Yamaguchi, 2002",11,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-29.4,,0.43
"Yamaguchi, 2002",12,shale,sub greenschist,Transvaal,"Timeball Hill, Transvaal, Kaapvaal",2.22,-27.8,,0.3
"Yamaguchi, 2002",1,shale,sub greenschist,Chuniespoort,"Oak Tree Fm, Chuniespoort Gp., Transvaal",2.56,-33.1,,2.3
"Yamaguchi, 2002",2,shale,sub greenschist,Chuniespoort,"Oak Tree Fm, Chuniespoort Gp., Transvaal",2.56,-34.1,,1.64
"Yamaguchi, 2002",3,shale,sub greenschist,Chuniespoort,"Oak Tree Fm, Chuniespoort Gp., Transvaal",2.56,-33.3,,1.66
"Yamaguchi, 2002",1,shale,sub greenschist,Hamersley,"Wittennoom Dolomite, Hamersley, Mt. Bruce",2.6,-40.4,,0.74
"Yamaguchi, 2002",2,shale,sub greenschist,Hamersley,"Wittennoom Dolomite, Hamersley, Mt. Bruce",2.6,-45.3,,1.02
"Yamaguchi, 2002",3,shale,sub greenschist,Hamersley,"Wittennoom Dolomite, Hamersley, Mt. Bruce",2.6,-48.9,,2.91
"Yamaguchi, 2002",4,shale,sub greenschist,Hamersley,"Wittennoom Dolomite, Hamersley, Mt. Bruce",2.6,-43.7,,1.91
"Yamaguchi, 2002",5,shale,sub greenschist,Hamersley,"Wittennoom Dolomite, Hamersley, Mt. Bruce",2.6,-47.6,,4.24
"Yamaguchi, 2002",6,shale,sub greenschist,Hamersley,"Wittennoom Dolomite, Hamersley, Mt. Bruce",2.6,-43.1,,4.45
"Yamaguchi, 2002",2,shale,sub greenschist,Hamersley,Marra Mamba Iron Fm,2.6,-37.7,,0.19
"Yamaguchi, 2002",3,shale,sub greenschist,Hamersley,Marra Mamba Iron Fm,2.6,-40.4,,0.93
"Yamaguchi, 2002",4,shale,sub greenschist,Hamersley,Marra Mamba Iron Fm,2.6,-43.3,,0.74
"Yamaguchi, 2002",1,shale,sub greenschist,Fortescue,Lewin Shale,2.69,-39.4,,2.67
"Yamaguchi, 2002",2,shale,sub greenschist,Fortescue,Lewin Shale,2.69,-42.8,,6.83
"Yamaguchi, 2002",3,shale,sub greenschist,Fortescue,Lewin Shale,2.69,-39.1,,1.56
"Yamaguchi, 2002",4,shale,sub greenschist,Fortescue,Lewin Shale,2.69,-42.2,,2.66
"Yamaguchi, 2002",5,shale,sub greenschist,Fortescue,Lewin Shale,2.69,-42,,1.83
"Yamaguchi, 2002",6,shale,sub greenschist,Fortescue,Lewin Shale,2.69,-45.4,,2.5
"Yamaguchi, 2002",7,shale,sub greenschist,Fortescue,Lewin Shale,2.69,-43.7,,2.05
"Yamaguchi, 2002",8,shale,sub greenschist,Fortescue,Lewin Shale,2.69,-42.4,,2.18
"Yamaguchi, 2002",1,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-25,,0.16
"Yamaguchi, 2002",2,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-22.6,,0.52
"Yamaguchi, 2002",3,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-24.4,,0.43
"Yamaguchi, 2002",4,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-25.7,,0.21
"Yamaguchi, 2002",5,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-24.5,,0.39
"Yamaguchi, 2002",6,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-25.5,,0.12
"Yamaguchi, 2002",7,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-26.2,,0.17
"Yamaguchi, 2002",8,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-26.2,,0.16
"Yamaguchi, 2002",9,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-26,,0.17
"Yamaguchi, 2002",10,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-25.7,,0.17
"Yamaguchi, 2002",11,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-24.8,,0.28
"Yamaguchi, 2002",12,greywacke,sub greenschist,Fig Tree,Sheba Fm,3.25,-24.4,,0.29
"Yamaguchi, 2002",1,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-29.3,,0.68
"Yamaguchi, 2002",2,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-29.9,,0.94
"Yamaguchi, 2002",3,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-27.6,,0.43
"Yamaguchi, 2002",4,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-28.6,,0.94
"Yamaguchi, 2002",5,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-27.7,,1.43
"Yamaguchi, 2002",6,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-29.2,,1.02
"Yamaguchi, 2002",7,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-29,,2.97
"Yamaguchi, 2002",8,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-29.9,,1.29
"Yamaguchi, 2002",9,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-29.2,,0.46
"Yamaguchi, 2002",10,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-27.6,,1.87
"Yamaguchi, 2002",11,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-27.4,,0.22
"Yamaguchi, 2002",12,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-31.2,,1.31
"Yamaguchi, 2002",13,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-29.3,,2.28
"Yamaguchi, 2002",14,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-28.6,,1.08
"Yamaguchi, 2002",15,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-28.1,,0.49
"Yamaguchi, 2002",16,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-28.6,,0.93
"Yamaguchi, 2002",17,shale,sub greenschist,Fig Tree,Sheba Fm,3.25,-27.5,,0.42
Jackson et al 1978,Havig et al 2017,shale,,"Gowdanda Fm., Ont Canada",,2.288,-27.4,,
Jackson et al 1978,Havig et al 2017,chert,,"Krombert Fm., Onverwacht Gp., swaziland system",,3.4,-26.1,,
Jackson et al 1978,Havig et al 2017,chert,,"Krombert Fm., Onverwacht Gp., swaziland system",,3.4,-26.2,,
Jackson et al 1978,Havig et al 2017,chert,,"Swartkoppie Fm., Onverwacht Gp., swaziland system",,3.3,-26.9,,
Jackson et al 1978,Havig et al 2017,shale,,"Fig Tree Gp., Swaziland system, S. Africa",,3.3,-28.6,,
Jackson et al 1978,Havig et al 2017,shale,,"Fig Tree Gp., Swaziland system, S. Africa",,3.3,-29.5,,
Jackson et al 1978,Havig et al 2017,shale,,"Fig Tree Gp., Swaziland system, S. Africa",,3.3,-28.3,,
Leventhal et al 1975,Havig et al 2017,,,"Gowanda Fm., Ontario",,2.3,-19.5,,
Leventhal et al 1975,Havig et al 2017,,,"Swartkoppie Fm., S. Africa",,3.3,-27.6,,
Leventhal et al 1975,Havig et al 2017,,,"Kromberg Fm., S. Africa",,3.4,-26.4,,
Donnelly et al 1977,Havig et al 2017,shale,,Diemal,,2.62,-25.7,,
Donnelly et al 1977,Havig et al 2017,shale,,Diemal,,2.62,-24.2,,
Donnelly et al 1977,Havig et al 2017,shale,,Mount Keith,,2.62,-29.5,,
Donnelly et al 1977,Havig et al 2017,shale,,Mount Keith,,2.62,-34.2,,
Donnelly et al 1977,Havig et al 2017,shale,,Eulaminna,,2.62,-30.7,,
Donnelly et al 1977,Havig et al 2017,shale,,Mount Jewell,,2.62,-30.8,,
Donnelly et al 1977,Havig et al 2017,shale,,Mount Jewell,,2.62,-35.2,,
Donnelly et al 1977,Havig et al 2017,shale,,Mount Jewell,,2.62,-41.7,,
Donnelly et al 1977,Havig et al 2017,shale,,Kanowna,,2.62,-26.8,,
Donnelly et al 1977,Havig et al 2017,shale,,Kalgoorlie,,2.62,-18.1,,
Donnelly et al 1977,Havig et al 2017,shale,,Kalgoorlie,,2.62,-27.3,,
Donnelly et al 1977,Havig et al 2017,shale,,Kalgoorlie,,2.62,-19.1,,
Donnelly et al 1977,Havig et al 2017,shale,,Kalgoorlie,,2.62,-17.1,,
Donnelly et al 1977,Havig et al 2017,shale,,Kambalda,,2.62,-21.0,,
Donnelly et al 1977,Havig et al 2017,shale,,Kambalda,,2.62,-22.3,,
Donnelly et al 1977,Havig et al 2017,shale,,Kambalda,,2.62,-36.4,,
Donnelly et al 1977,Havig et al 2017,shale,,Kambalda,,2.62,-27.8,,
Donnelly et al 1977,Havig et al 2017,shale,,Kambalda,,2.62,-15.5,,
Donnelly et al 1977,Havig et al 2017,shale,,Kambalda,,2.62,-16.3,,
Donnelly et al 1977,Havig et al 2017,shale,,Kambalda,,2.62,-16.0,,
Donnelly et al 1977,Havig et al 2017,shale,,Kambalda,,2.62,-18.9,,
Donnelly et al 1977,Havig et al 2017,shale,,Kambalda,,2.62,-15.7,,
Donnelly et al 1977,Havig et al 2017,shale,,Kambalda,,2.62,-15.1,,
Donnelly et al 1977,Havig et al 2017,shale,,Mount Thirsty,,2.62,-18.1,,
Donnelly et al 1977,Havig et al 2017,shale,,Norseman,,2.62,-19.2,,
Donnelly et al 1977,Havig et al 2017,shale,,Norseman,,2.62,-46.3,,
Strauss and Moore 1992,Havig et al 2017,shale,,,Reivilo Fm.,2.3,-34.5,,
Strauss and Moore 1992,Havig et al 2017,shale,,,Reivilo Fm.,2.3,-36.4,,
Strauss and Moore 1992,Havig et al 2017,shale,,,Reivilo Fm.,2.3,-36.7,,
Strauss and Moore 1992,Havig et al 2017,chert,,,Klipfonteinheuwel Fm.,2.325,-37.9,,
Strauss and Moore 1992,Havig et al 2017,carbonate,,,Gamohaan Fm.,2.45,-32.1,,
Strauss and Moore 1992,Havig et al 2017,carbonate,,,Gamohaan Fm.,2.45,-32.7,,
Strauss and Moore 1992,Havig et al 2017,carbonate,,,Gamohaan Fm.,2.45,-34.6,,
Strauss and Moore 1992,Havig et al 2017,carbonate,,,Gamohaan Fm.,2.45,-34.5,,
Strauss and Moore 1992,Havig et al 2017,carbonate,,,Gamohaan Fm.,2.45,-34.6,,
Strauss and Moore 1992,Havig et al 2017,shale,,,Gamohaan Fm.,2.45,-34.9,,
Strauss and Moore 1992,Havig et al 2017,shale,,,Jeerinah Fm.,2.65,-45.1,,
Strauss and Moore 1992,Havig et al 2017,shale,,,Jeerinah Fm.,2.65,-41.4,,
Strauss and Moore 1992,Havig et al 2017,chert,,,Meentheena Carbonate Member,2.75,-51.8,,
Strauss and Moore 1992,Havig et al 2017,carbonate,,,Tumbiana Fm.,2.75,-52.9,,
Strauss and Moore 1992,Havig et al 2017,shale,,,Tumbiana Fm.,2.75,-58.7,,
Strauss and Moore 1992,Havig et al 2017,carbonate,,,Tumbiana Fm.,2.75,-53.8,,
Strauss and Moore 1992,Havig et al 2017,chert,,,Kromberg Fm.,3.3,-30.3,,
Strauss and Moore 1992,Havig et al 2017,chert,,,Kromberg Fm.,3.3,-26.2,,
Strauss and Moore 1992,Havig et al 2017,chert,,,Kromberg Fm.,3.3,-32.6,,
Strauss and Moore 1992,Havig et al 2017,chert,,,Fig Tree Group,3.35,-28.5,,
Strauss and Moore 1992,Havig et al 2017,chert,,,Fig Tree Group,3.35,-28.6,,
Strauss and Moore 1992,Havig et al 2017,chert,,,Hooggenoeg Fm.,3.45,-36.7,,
Strauss and Moore 1992,Havig et al 2017,chert,,,Theespruit Fm.,3.55,-15.1,,
Koehler et al 2019,,shale,sub greenschist,,Mosquito creek Fm,2.94,-32.8,,
Koehler et al 2019,,shale,sub greenschist,,Mosquito creek Fm,2.94,-32.5,,
Koehler et al 2019,,shale,sub greenschist,,Mosquito creek Fm,2.94,-32.1,,
Koehler et al 2019,,shale,sub greenschist,,Mosquito creek Fm,2.94,-32.7,,
Koehler et al 2019,,shale,sub greenschist,,Mosquito creek Fm,2.94,-32.9,,
Koehler et al 2019,,shale,sub greenschist,,Mosquito creek Fm,2.94,-32.1,,
Koehler et al 2019,,shale,sub greenschist,,Mosquito creek Fm,2.94,-32.5,,
Koehler et al 2019,,shale,sub greenschist,,Mosquito creek Fm,2.94,-32.8,,
Koehler et al 2019,,shale,sub greenschist,,Mosquito creek Fm,2.94,-32.6,,
"Rasmussen and Buick, 2000",,carbonate,sub greenschist,Gorge Creek,Paddy Market,3.24,-30.9,,
"Rasmussen and Buick, 2000",,shale,sub greenschist,Gorge Creek,Corboy Formation,3.24,-30.86,,
"Rasmussen and Buick, 2000",,breccia,sub greenschist,Sulphur springs,Megabreccia,3.24,-31.19,,
"Rasmussen and Buick, 2000",,chert,sub greenschist,Sulphur springs,Marker Chert,3.24,-33.29,,
"Rasmussen and Buick, 2000",,volcanics,sub greenschist,Sulphur springs,Kangaroo Caves Fm,3.24,-36.86,,
